Date,Open,High,Low,Close,Adj Close,Volume
2020-12-28,530.000000,545.000000,520.000000,535.000000,535.000000,57174900
2020-12-29,535.000000,550.000000,510.000000,515.000000,515.000000,109721800
2020-12-30,515.000000,520.000000,500.000000,510.000000,510.000000,135900400
2021-01-04,515.000000,525.000000,496.000000,520.000000,520.000000,95326300
2021-01-05,510.000000,540.000000,510.000000,525.000000,525.000000,79486000
2021-01-06,525.000000,530.000000,505.000000,510.000000,510.000000,96455600
2021-01-07,510.000000,520.000000,505.000000,515.000000,515.000000,45738000
2021-01-08,515.000000,520.000000,510.000000,515.000000,515.000000,82124200
2021-01-11,510.000000,555.000000,510.000000,550.000000,550.000000,194551600
2021-01-12,550.000000,575.000000,530.000000,570.000000,570.000000,222055400
2021-01-13,575.000000,595.000000,560.000000,590.000000,590.000000,220938200
2021-01-14,595.000000,595.000000,565.000000,565.000000,565.000000,67089800
2021-01-15,565.000000,570.000000,550.000000,555.000000,555.000000,75685200
2021-01-18,555.000000,560.000000,535.000000,540.000000,540.000000,70622700
2021-01-19,540.000000,550.000000,520.000000,525.000000,525.000000,113637500
2021-01-20,525.000000,540.000000,520.000000,535.000000,535.000000,93115400
2021-01-21,535.000000,545.000000,525.000000,530.000000,530.000000,62932600
2021-01-22,525.000000,530.000000,510.000000,515.000000,515.000000,129875300
2021-01-25,515.000000,530.000000,505.000000,515.000000,515.000000,88057100
2021-01-26,515.000000,520.000000,480.000000,486.000000,486.000000,155964000
2021-01-27,486.000000,492.000000,464.000000,486.000000,486.000000,157438900
2021-01-28,462.000000,486.000000,462.000000,476.000000,476.000000,142044400
2021-01-29,488.000000,492.000000,468.000000,482.000000,482.000000,123541800
2021-02-01,482.000000,530.000000,470.000000,525.000000,525.000000,202710900
2021-02-02,530.000000,535.000000,494.000000,496.000000,496.000000,115489000
2021-02-03,505.000000,520.000000,498.000000,500.000000,500.000000,87030500
2021-02-04,505.000000,510.000000,496.000000,500.000000,500.000000,40905800
2021-02-05,500.000000,510.000000,498.000000,505.000000,505.000000,42069400
2021-02-08,515.000000,530.000000,510.000000,530.000000,530.000000,114417300
2021-02-09,540.000000,540.000000,520.000000,530.000000,530.000000,103254000
2021-02-10,530.000000,540.000000,515.000000,535.000000,535.000000,97513700
2021-02-11,535.000000,540.000000,515.000000,525.000000,525.000000,48686700
2021-02-15,525.000000,550.000000,525.000000,550.000000,550.000000,121519000
2021-02-16,555.000000,560.000000,545.000000,550.000000,550.000000,81728200
2021-02-17,550.000000,550.000000,530.000000,545.000000,545.000000,96862800
2021-02-18,545.000000,560.000000,540.000000,545.000000,545.000000,98896100
