Date,Open,High,Low,Close,Adj Close,Volume
2020-12-28,264.000000,268.000000,252.000000,258.000000,258.000000,126589500
2020-12-29,260.000000,274.000000,254.000000,256.000000,256.000000,225122100
2020-12-30,258.000000,260.000000,242.000000,242.000000,242.000000,203779800
2021-01-04,242.000000,252.000000,228.000000,252.000000,252.000000,212933600
2021-01-05,252.000000,272.000000,246.000000,260.000000,260.000000,348661600
2021-01-06,260.000000,268.000000,244.000000,254.000000,254.000000,181408000
2021-01-07,258.000000,266.000000,254.000000,256.000000,256.000000,127325800
2021-01-08,256.000000,262.000000,254.000000,256.000000,256.000000,114901600
2021-01-11,258.000000,270.000000,254.000000,264.000000,264.000000,206506400
2021-01-12,264.000000,282.000000,258.000000,278.000000,278.000000,478322700
2021-01-13,282.000000,286.000000,264.000000,268.000000,268.000000,262391900
2021-01-14,270.000000,272.000000,256.000000,258.000000,258.000000,162289600
2021-01-15,258.000000,268.000000,254.000000,260.000000,260.000000,142623400
2021-01-18,262.000000,266.000000,242.000000,246.000000,246.000000,196196300
2021-01-19,246.000000,252.000000,230.000000,236.000000,236.000000,145186800
2021-01-20,236.000000,246.000000,232.000000,238.000000,238.000000,105900000
2021-01-21,240.000000,260.000000,240.000000,248.000000,248.000000,193416000
2021-01-22,252.000000,252.000000,232.000000,234.000000,234.000000,137473100
2021-01-25,232.000000,234.000000,218.000000,218.000000,218.000000,178146900
2021-01-26,210.000000,220.000000,204.000000,204.000000,204.000000,159992900
2021-01-27,204.000000,204.000000,190.000000,200.000000,200.000000,233091600
2021-01-28,200.000000,200.000000,186.000000,186.000000,186.000000,124848000
2021-01-29,189.000000,199.000000,182.000000,192.000000,192.000000,260709600
2021-02-01,192.000000,220.000000,186.000000,220.000000,220.000000,248204200
2021-02-02,220.000000,228.000000,208.000000,210.000000,210.000000,280851900
2021-02-03,210.000000,216.000000,204.000000,212.000000,212.000000,77686800
2021-02-04,212.000000,216.000000,206.000000,208.000000,208.000000,71750600
2021-02-05,210.000000,220.000000,208.000000,218.000000,218.000000,69432800
2021-02-08,220.000000,226.000000,216.000000,224.000000,224.000000,105562700
2021-02-09,226.000000,250.000000,224.000000,236.000000,236.000000,631039700
2021-02-10,238.000000,248.000000,228.000000,242.000000,242.000000,199545200
2021-02-11,242.000000,244.000000,236.000000,236.000000,236.000000,76331200
