"Date","Close","Open","High","Low","Volume","Change %"
"2020-Nov-13","40.13","40.94","40.94","40.06","338.19K","-2.41%"
"2020-Nov-12","41.12","41.47","42.19","40.87","401.03K","-0.80%"
"2020-Nov-11","41.45","41.79","43.06","41.32","443.77K","0.22%"
"2020-Nov-10","41.36","39.91","41.84","39.41","457.05K","2.66%"
"2020-Nov-09","40.29","37.34","41.33","37.16","622.92K","8.48%"
"2020-Nov-06","37.14","38.54","38.61","37.06","411.03K","-4.25%"
"2020-Nov-05","38.79","39.17","39.35","38.27","298.37K","-0.92%"
"2020-Nov-04","39.15","38.15","39.25","37.26","437.00K","3.96%"
"2020-Nov-03","37.66","37.03","38.32","36.57","410.61K","2.31%"
"2020-Nov-02","36.81","35.24","37.15","33.64","489.20K","2.85%"
"2020-Oct-30","35.79","36.07","36.60","35.21","388.97K","-1.05%"
"2020-Oct-29","36.17","37.39","37.76","34.92","568.82K","-3.26%"
"2020-Oct-28","37.39","38.97","39.01","36.97","489.95K","-5.51%"
"2020-Oct-27","39.57","38.59","39.83","38.51","339.54K","2.62%"
"2020-Oct-26","38.56","39.69","39.74","38.28","360.18K","-3.24%"
"2020-Oct-23","39.85","40.61","40.92","39.57","268.93K","-1.94%"
"2020-Oct-22","40.64","40.04","41.02","39.71","307.49K","1.52%"
"2020-Oct-21","40.03","41.22","41.59","39.78","366.90K","-3.45%"
"2020-Oct-20","41.46","40.65","41.70","40.25","24.52K","1.54%"
"2020-Oct-19","40.83","40.69","41.22","40.54","75.34K","-0.12%"
"2020-Oct-16","40.88","40.88","41.05","40.08","96.49K","-0.20%"
"2020-Oct-15","40.96","41.13","41.29","39.22","248.25K","-0.19%"
"2020-Oct-14","41.04","40.19","41.16","39.82","328.30K","2.09%"
"2020-Oct-13","40.20","39.53","40.53","39.35","375.47K","1.95%"
"2020-Oct-12","39.43","40.40","40.45","39.04","322.04K","-2.88%"
"2020-Oct-09","40.60","41.31","41.47","40.38","331.70K","-1.43%"
"2020-Oct-08","41.19","39.99","41.33","39.76","409.79K","3.10%"
"2020-Oct-07","39.95","39.83","40.35","39.28","433.07K","-1.77%"
"2020-Oct-06","40.67","39.35","40.86","39.10","400.53K","3.70%"
"2020-Oct-05","39.22","37.00","39.72","37.00","378.58K","5.86%"
"2020-Oct-02","37.05","38.60","38.65","36.63","391.43K","-4.31%"
