"Date","Close","Open","High","Low","Volume","Change %"
"2019-Jul-19","1472.30","1483.30","1487.40","1461.50","0.02K","-0.12%"
"2019-Jul-18","1474.00","1464.40","1488.50","1459.40","0.02K","0.32%"
"2019-Jul-17","1469.30","1455.00","1467.30","1455.00","0.02K","0.87%"
"2019-Jul-16","1456.60","1453.40","1453.40","1453.40","0.02K","-0.12%"
"2019-Jul-15","1458.40","1452.30","1452.30","1452.30","0.99K","0.10%"
"2019-Jul-12","1457.00","1450.90","1450.90","1450.90","0.05K","0.39%"
"2019-Jul-11","1451.40","1461.40","1467.20","1461.40","0.01K","-0.36%"
"2019-Jul-10","1456.60","1450.50","1450.50","1450.50","0.07K","0.84%"
"2019-Jul-09","1444.40","1430.60","1430.80","1430.60","0.02K","0.07%"
"2019-Jul-08","1443.40","1436.90","1436.90","1436.90","0.05K","0.05%"
"2019-Jul-05","1442.70","1428.00","1433.00","1428.00","0.02K","1.35%"
"2019-Jul-04","1423.55","1421.25","1426.65","1412.85","-","-2.64%"
"2019-Jul-03","1462.10","1465.50","1465.50","1461.90","0.00K","0.91%"
"2019-Jul-02","1448.90","1428.60","1428.60","1428.60","0.07K","1.34%"
"2019-Jul-01","1429.70","1444.00","1444.00","1424.40","0.01K","-1.60%"
"2019-Jun-28","1452.90","1451.00","1451.00","1445.70","0.06K","0.16%"
"2019-Jun-27","1450.60","1444.50","1444.50","1444.50","0.06K","-0.23%"
"2019-Jun-26","1453.90","1441.90","1445.40","1440.50","0.04K","-0.24%"
"2019-Jun-25","1457.40","1461.30","1473.90","1448.70","0.09K","0.03%"
"2019-Jun-24","1457.00","1439.10","1449.60","1439.00","0.01K","1.25%"
"2019-Jun-21","1439.00","1444.00","1444.00","1419.60","0.02K","0.21%"
"2019-Jun-20","1436.00","1419.10","1428.70","1417.40","0.41K","3.22%"
"2019-Jun-19","1391.20","1382.10","1382.10","1382.10","0.09K","-0.26%"
"2019-Jun-18","1394.80","1379.70","1394.50","1379.70","0.18K","0.56%"
"2019-Jun-17","1387.00","1379.70","1384.20","1379.70","0.02K","-0.14%"
"2019-Jun-14","1388.90","1389.20","1389.20","1379.80","0.04K","0.06%"
"2019-Jun-13","1388.10","1378.30","1378.70","1378.30","0.00K","0.50%"
"2019-Jun-12","1381.20","1373.80","1373.80","1373.80","0.01K","0.35%"
"2019-Jun-11","1376.40","1369.00","1369.00","1369.00","1.01K","0.15%"
"2019-Jun-10","1374.30","1378.00","1378.00","1367.00","0.01K","-1.08%"
"2019-Jun-07","1389.30","1388.50","1388.50","1382.40","0.05K","0.25%"
"2019-Jun-06","1385.90","1370.00","1370.00","1370.00","0.09K","0.60%"
"2019-Jun-05","1377.60","1376.60","1376.60","1368.80","0.16K","0.27%"
"2019-Jun-04","1373.90","1366.50","1366.50","1366.50","0.03K","0.07%"
"2019-Jun-03","1372.90","1356.50","1356.50","1356.50","0.07K","1.13%"
"2019-May-31","1357.50","1342.90","1347.80","1342.90","0.22K","1.20%"
