"Date","Close","Open","High","Low","Volume","Change %"
"2020-Apr-20","25.57","28.05","28.25","25.37","361.83K","-8.94%"
"2020-Apr-17","28.08","28.66","28.93","27.58","286.17K","0.93%"
"2020-Apr-16","27.82","28.05","29.00","27.20","272.98K","0.47%"
"2020-Apr-15","27.69","30.26","30.33","27.16","284.34K","-6.45%"
"2020-Apr-14","29.60","32.25","32.32","29.38","297.55K","-6.74%"
"2020-Apr-13","31.74","33.99","33.99","30.63","223.29K","0.83%"
"2020-Apr-09","31.48","33.82","36.40","31.18","493.00K","-4.14%"
"2020-Apr-08","32.84","32.63","33.87","31.54","320.61K","3.04%"
"2020-Apr-07","31.87","33.66","34.18","31.74","303.42K","-3.57%"
"2020-Apr-06","33.05","31.76","34.24","30.03","296.07K","-3.11%"
"2020-Apr-03","34.11","29.89","35.00","28.25","541.28K","13.93%"
"2020-Apr-02","29.94","25.61","36.29","25.45","612.27K","21.02%"
"2020-Apr-01","24.74","25.99","26.28","24.52","347.29K","8.80%"
"2020-Mar-31","22.74","23.00","23.87","22.59","14.77K","-0.09%"
"2020-Mar-30","22.76","23.85","24.44","21.65","62.08K","-8.70%"
"2020-Mar-27","24.93","26.68","27.00","24.13","112.74K","-5.35%"
"2020-Mar-26","26.34","27.35","27.75","26.03","139.18K","-3.83%"
"2020-Mar-25","27.39","27.80","28.29","25.68","154.94K","0.88%"
"2020-Mar-24","27.15","27.72","28.65","26.69","198.91K","0.44%"
"2020-Mar-23","27.03","26.75","27.54","24.68","257.59K","0.19%"
"2020-Mar-20","26.98","28.10","30.94","26.81","313.84K","-5.23%"
"2020-Mar-19","28.47","27.19","29.42","24.96","335.72K","14.43%"
"2020-Mar-18","24.88","28.40","29.21","24.52","348.40K","-13.40%"
"2020-Mar-17","28.73","30.14","31.25","28.50","270.24K","-4.39%"
"2020-Mar-16","30.05","35.82","35.84","29.45","330.12K","-11.23%"
"2020-Mar-13","33.85","32.85","36.15","32.50","360.63K","1.90%"
"2020-Mar-12","33.22","35.99","36.46","32.50","472.74K","-7.18%"
"2020-Mar-11","35.79","37.27","39.70","35.35","471.77K","-3.84%"
"2020-Mar-10","37.22","35.84","38.22","35.00","551.29K","8.32%"
"2020-Mar-09","34.36","38.28","38.34","31.02","779.72K","-24.10%"
"2020-Mar-06","45.27","50.25","50.45","45.18","636.39K","-9.44%"
"2020-Mar-05","49.99","51.66","52.04","49.70","361.04K","-2.23%"
"2020-Mar-04","51.13","52.11","53.03","51.04","363.50K","-1.41%"
"2020-Mar-03","51.86","53.47","53.90","51.22","407.55K","-0.08%"
"2020-Mar-02","51.90","48.95","53.20","48.40","417.56K","2.73%"
"2020-Feb-28","50.52","51.42","51.52","50.05","20.36K","-3.18%"
"2020-Feb-27","52.18","53.18","53.25","50.97","112.16K","-2.34%"
"2020-Feb-26","53.43","55.13","55.45","53.03","171.50K","-2.77%"
"2020-Feb-25","54.95","56.46","56.98","54.62","210.28K","-2.40%"
"2020-Feb-24","56.30","57.85","57.86","55.13","236.33K","-3.76%"
"2020-Feb-21","58.50","59.00","59.25","57.73","236.49K","-1.37%"
"2020-Feb-20","59.31","59.31","60.00","58.90","268.65K","0.32%"
"2020-Feb-19","59.12","57.60","59.40","57.51","262.15K","2.37%"
