"Date","Close","Open","High","Low","Change %"
"2021-Sep-29","1726.53","1733.97","1746.11","1721.07","-0.41%"
"2021-Sep-28","1733.68","1750.45","1754.80","1727.18","-0.92%"
"2021-Sep-27","1749.85","1751.24","1761.29","1744.19","-0.00%"
"2021-Sep-24","1749.86","1742.82","1758.08","1739.60","0.42%"
"2021-Sep-23","1742.57","1768.40","1776.60","1737.84","-1.43%"
"2021-Sep-22","1767.91","1774.51","1787.51","1764.84","-0.36%"
"2021-Sep-21","1774.25","1764.19","1782.07","1757.61","0.59%"
"2021-Sep-20","1763.88","1754.30","1767.31","1742.24","0.55%"
"2021-Sep-17","1754.16","1753.67","1768.22","1747.07","0.04%"
"2021-Sep-16","1753.39","1794.34","1796.71","1745.04","-2.19%"
"2021-Sep-15","1792.59","1804.53","1807.30","1790.28","-0.65%"
"2021-Sep-14","1804.27","1793.77","1808.99","1781.89","0.60%"
"2021-Sep-13","1793.49","1788.55","1798.66","1783.73","0.34%"
"2021-Sep-10","1787.34","1794.61","1804.15","1786.53","-0.41%"
"2021-Sep-09","1794.69","1789.19","1801.19","1783.83","0.32%"
"2021-Sep-08","1788.93","1794.41","1802.60","1781.98","-0.29%"
"2021-Sep-07","1794.13","1823.27","1827.39","1792.33","-1.59%"
"2021-Sep-06","1823.10","1828.66","1830.60","1820.58","-0.17%"
"2021-Sep-03","1826.19","1809.98","1834.55","1808.53","0.93%"
"2021-Sep-02","1809.40","1813.92","1817.53","1804.48","-0.23%"
"2021-Sep-01","1813.66","1813.57","1820.21","1808.18","0.01%"
"2021-Aug-31","1813.43","1810.26","1819.43","1801.47","0.19%"
"2021-Aug-30","1810.02","1817.55","1823.38","1807.28","-0.37%"
"2021-Aug-27","1816.67","1792.60","1819.38","1787.66","1.37%"
"2021-Aug-26","1792.18","1791.09","1798.61","1779.48","0.08%"
"2021-Aug-25","1790.68","1802.86","1803.57","1782.45","-0.66%"
"2021-Aug-24","1802.61","1805.61","1810.03","1799.73","-0.14%"
"2021-Aug-23","1805.20","1780.55","1806.92","1776.03","1.37%"
"2021-Aug-20","1780.87","1780.44","1788.85","1777.96","0.09%"
